ID: 20231204180412_23518

Problem: dtlz2
Number of objects: 2
Number of variables: 2

Algorithm choice: 2
Algorithm phase strategy: global + local
First phase rate: 0.5
Population size: 11
Maximum number of function evaluations: 300

IGD: 0.007967603110166366
GD: 0.0036350512895094436
HV: 0.4153917009118357
Time cost: 1355.9330999851227

non_dom_solutions:
[0.7505347648863673, 0.46317152699428493]
[0.3830540610379729, 0.5573532587522321]
[0.2816844867057473, 0.5037161386313338]
[0.814467426003331, 0.5037161386313338]
[0.34286866453064724, 0.46317152699428493]
[0.24188682111684168, 0.5037161386313338]
[0.17562061814965868, 0.5040493352563383]
[0.9308059526269558, 0.49091345896364147]
[0.01614626287659157, 0.4989961412355389]
[0.9870937752952446, 0.48482716241075335]
[0.17472762367588435, 0.5037697116863857]
[0.8113481372242047, 0.5037161386313338]
[0.015723024736755464, 0.49091345896364147]
[0.9178938368377534, 0.48482716241075335]
[0.6871793826237008, 0.5065347425020857]
[0.43185675179534666, 0.5331169548244543]
[0.2933583736397873, 0.5037161386313338]
[0.105358836631266, 0.4848207224144555]
[0.9835034874203618, 0.502833421385677]
[0.17093070661997395, 0.4980017331756478]
[0.9836462194058573, 0.490930331688958]
[0.8058227352821877, 0.4980017331756478]
[0.9022787858779248, 0.49135399817786246]
[0.024623719646850617, 0.4948084668225474]
[0.434807596333998, 0.5409934380143055]
[0.2993047429874619, 0.5093306333201513]
[0.16839557581916526, 0.4980017331756478]
[0.6917415776058502, 0.4853225930123468]
[0.16524651121053496, 0.49824333067184057]
[0.7845841748176842, 0.4983499080035201]
[0.3564809730763875, 0.5137841095642941]
[0.2165199514927964, 0.49577240330381755]
[0.9552507221311591, 0.4731258654708227]
[0.47648069182538094, 0.5323333055285491]
[0.7157571859695473, 0.49165744091406105]
[0.8625128565061565, 0.49869674666383246]
[0.1166490550526662, 0.508230937588202]
[0.5495751465020705, 0.49260188946400907]
[0.4799406851653184, 0.5130619188799885]
[0.06074374272127386, 0.49868681200557863]
[0.8181819803977621, 0.49869674666383246]
[0.3726447578314155, 0.5041170394032496]
[0.9355348690891302, 0.481780322000639]
[0.28575245727124005, 0.48640192274607885]
[0.6311071364730872, 0.4811079610461597]
[0.2146528376595284, 0.48050152431459314]
[0.48778123119633876, 0.48281018598353465]
[0.9280270144269552, 0.4843575717806683]
[0.3037466156587213, 0.4892512617752488]
[0.9749613227961207, 0.49091345896364147]
[0.06030735871130957, 0.5044312864472452]
[0.6226655539997693, 0.47531008941455755]
[0.2822988729181386, 0.49091345896364147]
[0.28059084033955717, 0.4830896812676689]
[0.6752289838607399, 0.4805254870598657]
[0.20375177632056485, 0.4899485546150129]
[0.22193532527331766, 0.4944612086726631]
[0.9999999703579152, 0.5053173564331296]
[0.40375550912155217, 0.49091345896364147]
[0.9320190941210922, 0.4984121024418165]
[0.054778760165797136, 0.513159656988976]
[0.9014763191558197, 0.5053173564331296]
[0.15097291794895917, 0.5037161386313338]
[0.06539862528877433, 0.4907354930185116]
[0.1073263038417748, 0.4862103163289918]
[0.6709091840112646, 0.47549486797819923]
[0.2933610978568415, 0.5035018934905459]
[0.5456843914395103, 0.4784051010984759]
[0.9058750078706629, 0.4916235996257475]
[0.9999999831170755, 0.5062515845664699]
[0.4327825833850836, 0.47508360789371407]
[0.9350488100442118, 0.4911469234409171]
[0.2005620596199607, 0.5085209913674568]
[0.14263388666257726, 0.5615668942788915]
[0.002394196417340899, 0.4988216322406244]
[0.5569947695234413, 0.47531008941455755]
[0.9295630494459057, 0.49432164237713044]
[0.6639270800648314, 0.4643911503167116]
[0.9004748703166695, 0.49432164237713044]
[0.3001847513757475, 0.5045655077143111]
[0.04797208370624345, 0.49432164237713044]
[0.9064686277601856, 0.49869674666383246]
[0.680210293291371, 0.46317152699428493]
[0.5423936087857836, 0.4800615132745276]
[0.16705416241728055, 0.5216194858898076]
[0.9321463757409558, 0.5053173564331296]
[0.081075439594614, 0.5041170394032496]
[0.30380780948072866, 0.4995128666294505]
[0.10601282313770857, 0.4971239301771755]
[0.4300183891866805, 0.48591552728646326]
[0.9252543800096337, 0.5252885208811007]
[0.3026662563708965, 0.4969119081490646]
[0.10070266932016736, 0.4985795002744135]
[0.06773786728918602, 0.4984912068659753]
[0.981427956440669, 0.5053173564331296]
[0.773979591699637, 0.5200812217671523]
[0.5691869324605162, 0.48586473375238115]
[0.5804564993165465, 0.48631326286183146]
[0.7999327519594328, 0.48367741963010846]
[0.9676848593072908, 0.5053173564331296]
[0.9236913913996864, 0.4961210693449816]
[0.4458073705609682, 0.5041170394032496]
[0.059784422057222064, 0.5008443284333053]
[0.6279194820095273, 0.5053173564331296]
[0.3177689813417488, 0.5244287707081063]
[0.029091271901461935, 0.49869278296332303]
[0.5081461299689128, 0.5020877781746887]
[0.0038789419735481556, 0.4999716756724622]
[0.00896650579857966, 0.4999716756724622]
[7.858066974897326e-10, 0.4999719084485591]
[2.6113413037057165e-05, 0.4999719084485591]
[1.1830371423555974e-05, 0.4999719084485591]
[3.4894049160960616e-06, 0.4999719084485591]
[0.009701291658785471, 0.4999719084485591]
[3.572422110520446e-05, 0.49996292242993606]
[0.017070950130416818, 0.500070849019114]
[0.021368999885527373, 0.49996669026031676]
[0.017938971391704195, 0.49993899472075753]
